# Copyright Notice:  Al Jones 2005 - 2015
# License: This File In Its Original Form May Be Distributed Freely.
# Of This File May Not Be Distributed Or Published By Any Means.
# This File May Be Modified For Personal Use Only; Any Modified Version	
# Of This File May Not Be Distributed Or Published By Any Means.

# I'D Like To Remind You All That Fontorg Is A Shareware Program.
# It Takes A Considerable Amount Of Time To Update It And Its Asscociated Files.
# If You Find Yourself Using It On A Regular Basis I'D Appreciate You Tipping
# Something Into My Paypal Account.  The Link To It Can Be Found At Fontorg.Us
# Thanks //Al

#Name1	Name2
199? Dati	_Unk Dati
Repro Cem?L	_Unk Repro
Repro Cemýl	_Unk Repro
"A&L"	_Unk A&L
Ttip&Ab	_Unk Ttip
!@##$%	Jack Keene
!@#$%	Jack Keene
!@$%	Jack Keene
"(C) Eve, "	Eve
"(C) M. Olive, 1990"	M Olive
"Benoit'Bluerats""""Desprez"""	Benoit Desprez
"Benoit'Bluerats""Desprez"	Benoit Desprez
"By Calvin ""Mr.Cow"" Sun"	Calvin Sun
"Chris ""Firehawk"" Nell"	Chris Nell
"Christian ""Catharsis"" Thalmann"	Christian Thalmann
"Created By Pete, 2000"	Pete
"Haneishi,Satoru"	Satoru Haneishi
"Jakob ""Droelma, Da King"" Kanior"	Jakob Kanior
"Klein, Manfred"	Manfred Klein
"Kothyai, Gabor"	Gabor Kothay
"Michal ""Miszka"" Nowakowski"	Michal Nowakowski
"Mike ""Gumby"" Anderson"	Mike Anderson
"Miyadima, Takafumi"	Takafumi Miyadima
"Miyadima,Takafumi"	Miyadima Takafumi
"Peter ""The Shooman"" Schuster"	Peter Schuster
"Scott, Foresman & Company"""	Scott Foresman
"Takatoshi ""Takker""  Katoh"	Takatoshi Katoh
"Takatoshi ""Takker"" Katoh"	Takatoshi Katoh
"Tommy"" Of Escondido"	Tommy Of Escondido
"Treacy,Typefaces"	Joseph Treacy
"Treacyfaces,Inc"	Joseph Treacy
#? Characte	Character
#?Gm	Graham Meade
#Aldus	Aldus	There Is Also A Designer By Name Of Aldus!
#Almamoun Ahmed	Almamoun Ahmed
#By Uazero	Uazero
#Charlie	Charlie
#Hih Retrofonts	Tom
Karen Ackoff	Karen Ackoff
#Ladysara	Ladysara
#Laura	Laura
#Riss	Riss
#Ronald	Ronald
#Shift	Shift
#Unknown	Notknown
& Gem	Graham Meade
(C) 199? Levi	Jay Levi
(C) 199?-200? Levi	Jay Levi
(C) 1998 Meir@Sadan.Com	Meir Sadan
(C) 200? Levi	Jay Levi
(C) Adam	Adam Worsley
(C) Aldo	Aldo
(C) Apostrophe	Apostrophe
(C) Atype	Artem Gerasimov
(C) Character	Character
(C) Claude	Claude Pelletier
(C) Darrian	Darrian Lynx
(C) Dayflash	Christian Lang
(C) Gm	Graham Meade
(C) Ht	Hypo Typo
(C) Jeff	Jeff
(C) Ka	Ka
(C) Kai	Kai
(C) Kate	Kate
